"CATEGORIE","LIBELLE","MOT_DIRECTEUR","STATUT","COMMUNE","RIVOLI","TENANT","ABOUTISSANT","BI_MIN","BP_MIN","BI_MAX","BP_MAX"
"Rue","Rue de Questembert","Questembert","PUBLIQUE","NANTES","7085","NANTES Avenue du Bout des Landes","NANTES Rue de Concarneau","1","","5",""
"Square","Square Cézanne","Cézanne","PRIVEE","THOUARE-SUR-LOIRE","0260","THOUARE-SUR-LOIRE Rue Marie Bracquemond","THOUARE-SUR-LOIRE Rue Marie Bracquemond","1","2","13","14"
"Place","Place de la Paix en Algérie","Paix","PUBLIQUE","LA-CHAPELLE-SUR-ERDRE","4281","","","","4","","4"
"Allée","Allée du Jardin","Jardin","PUBLIQUE","LA-CHAPELLE-SUR-ERDRE","3910","LA-CHAPELLE-SUR-ERDRE Boulevard du Gesvr","LA-CHAPELLE-SUR-ERDRE Allée des Liserons","1","2","9","10"
"Allée","Allée du Long Pré","Long","PUBLIQUE","LA-CHAPELLE-SUR-ERDRE","4030","LA-CHAPELLE-SUR-ERDRE Promenade de la Mu","","1","2","13","14"
"Rue","Rue des Métayers","Métayers","PUBLIQUE","LA-CHAPELLE-SUR-ERDRE","4205","LA-CHAPELLE-SUR-ERDRE Rue de la Hillet","LA-CHAPELLE-SUR-ERDRE Rue du Jeu","67","58","271","300"
"Rue","Rue du Colombier","Colombier","PRIVEE","LA-CHAPELLE-SUR-ERDRE","2129","LA-CHAPELLE-SUR-ERDRE Rue du Colombier","","1","2","15","16"
"Rue","Rue du Cartron","Cartron","PUBLIQUE","SAINT-JEAN-DE-BOISEAU","0140","SAINT-JEAN-DE-BOISEAU Rue des Frères Goh","SAINT-JEAN-DE-BOISEAU Rue de la Rivière","1","2","21","16"
"Rue","Rue de la Fraternité","Fraternité","PUBLIQUE","SAINT-JEAN-DE-BOISEAU","0460","SAINT-JEAN-DE-BOISEAU Rue de la Perche","SAINT-JEAN-DE-BOISEAU Place du Maréchal ","1","2","33","22"
"Rue","Rue du Reverdy","Reverdy","PUBLIQUE","SAINT-JEAN-DE-BOISEAU","0021","SAINT-JEAN-DE-BOISEAU Rue de l'Hommeau","SAINT-JEAN-DE-BOISEAU Rue de la Fenêtre","","2","","18"
